search,result,viaf,lc,isni,ratio,partialRatio,tokenSort,tokenSet,avg
Johns Hopkins University,Johns Hopkins University.,http://viaf.org/viaf/141846012,http://id.loc.gov/authorities/names/n79061226,http://isni.org/isni/0000000121719311,79,96,91,100,91
University of North Carolina,University of North Carolina at Chapel Hill.,http://viaf.org/viaf/157864378,http://id.loc.gov/authorities/names/n82047813,http://isni.org/isni/0000000120977685,67,70,82,92,77
Susquehanna University,Susquehanna University,http://viaf.org/viaf/128467232,http://id.loc.gov/authorities/names/n80162955,http://isni.org/isni/0000000123222253,79,100,90,100,92
